,content,score
1418,"You can go for it only if you are only alive in this world to listen to Praises of Rohit and hate against Virat, nothing more u will get here! Man I downloaded it and what's the first news, Kohli can be removed from ODI captaincy, Kohli this Kohli that, Rohit this good captain that good player, world's best player, etc, etc. So over to you if u don't want cricket and just want Rohit or hate against Virat, must for you otherwise you should understand yourself now. Moreover, There are tons of ads.",1
1419,Best aap,5
1420,Very nice app great effort by Sports Tak,5
1421,Wonderful app,5
1422,Nice,5
1423,Does this app has any charges,4
1424,Best app for sports 👌👏🙌👍,5
1425,Superb app Sir jiii Download everyone 🙏🙏🙏❣️❣️❣️💯💯💯💯,5
1426,Great job vikrant paji and team....,5
1427,"By far the worst cricket channels of all time , the people sit here has no idea about cricket , all they do is spread agenda on cricketers talking about rifts and some useless stuffs and disrespecting them .. Vikrant Gupta if you are reading this , please keep one thing in mind ,one day you will pay for your sins",1
1428,This is the best Sports App,5
1429,Good,5
1430,Wow,5
1431,Osm application 👌👌,5
1432,Very good app Thank you so much vikrant sir and sport tak team,5
1433,Experience to baad me pta chalega per Abhi to Vikrant bhai ko badhiyaan 🤗,5
1434,Good app,5
1435,Nice app,5
1436,NICE APP TNX SPORTS TAK😊,5
1437,"Full Negativity , hate, Virat Vs ms vs rohit",1
1438,I am seeing #SportsTak From last 2 years.,5
1439,Awsm app sports lover go for it and download now.,4
1440,This aap is very nice👍👍,5
1441,Good News Fro me bat this app Slow please improve this app,5
1442,I think some improvement karne hoga,4
1443,App is not working 😕,1
1444,Very Nice 🙂❤️,5
1445,Fantastic rashika and all members,5
1446,Great app,5
1447,Not working,1
1448,Doesn't open anything,1
1449,V good app,5
1450,Excited for this app as long as vikrant gupta since 2017,5
1451,Bekaar bada slow hai,1
1452,Good app,5
1453,Amazing application,5
1454,Good app,5
1455,Its really great app for us to get any sports news with best ancher like vikrant sir❤️,5
1456,Nice,5
1457,Thank you vikrant sir for this wonderful app,5
1458,i am not able to load this app please fix it as soon as possible,1
1459,Very good app I,4
1460,Nice app and very good app,5
1461,Vikrant sir you best 👍,5
1462,Bug,1
1463,App is not staring.,1
1464,Very good channel,5
1465,Very nice App,2
1466,Only lagging,1
1467,Very useful,5
1468,Very bad app nothing is showing .......,1
1469,Best vikrant sir........🤟🤟🤟🤩🤩🤩,5
1470,Not working,5
1471,Very very bad service,1
1472,Best app for sports lovers 😁,5
1473,Nice,5
1474,Excellent aap,5
1475,"Not bad 👍😎 , but same change important",3
1476,App showing blank screen in home page.also take too much time to load data.,1
1477,It's very nice,5
1478,Nice,5
1479,this is a great experience to use this app 👏👏👏 👏👏,5
1480,Love ur team sports tak. Virant sir I have already predicted about it yesterday.,5
1481,Sirrra,5
1482,Nice application,4
1483,Open hi nahi ho rha h ye app,1
1484,All the best 👍👍,5
1485,Kuch bhi sahi se nahi khul raha hai,1
1486,Fantastic app,5
1487,App is not working at all! I know it is new app but please resolve the issue.,1
1488,It not showing anything is the app,1
1489,Very good aap,5
1490,Super app,5
1491,Good,5
1492,Good app sports tak,5
1493,Good Aap thank you sports tak and Sports tak team,5
1494,The worst app that I have ever used it's not working. This is waste of data.,1
1495,Best app for sports,5
1496,Need lot of improvement,3
1497,aap not working 😕,1
1498,I am waiting for this app,5
1499,Great app 😍😍😍,5
1500,Very good,5
1501,Sports tak application is brilliant,5
1502,App is not loading the contents...screen is completely black...plz fix this bug,1
1503,☀️☀️☀️☀️☀️,5
1504,Very good,5
1505,5 star for Vikrant sir,5
1506,It is good but app is not working,5
1507,They are trying so hard to spread negativity and hatred by their agenda 🤬,1
1508,Most knowledgement👍👍,5
1509,Kya bat hai dil khus kardiya oll the best vikrant sir,5
1510,Ye sahi h bhai log bina koi jhijhak k download kr lo thoda slowly h but thik ho jayega,5
1511,Aajtak ka ya sports tak ka Sports lovers k liye first app Jisme all of features h I loved it 🥰🥰🥰👍👌,5
1512,Vikrant Gupta ji ke liye Ham aaj yha hai,5
1513,Nice app but very slow,4
1514,Vikrant sir op,5
1515,Jj,4
1516,Not working for me...i am seeing a blank screen,1
1517,Good,5
1518,Nice app,1
1519,Good App 👍,5
1520,Thank you very much Developers for making this very beautiful app. And Specially thank you to Vikrant sir.,5
1521,Very slow working,1
1522,No information useless app,1
1523,App is a great platform for sports tak lover nd all but need to improve,3
1524,Good app,5
1525,Mind fresh,5
1526,Goodapp,5
1527,This application is very good,5
1528,Bhut acha app h,5
1529,Nyc,5
1530,Perfect experience for criket updates,5
1531,Ab aayega mjaa khusiya batni ho to jarur aaye sb sath mil kr khuch fany krke enjoy krte h bhut achha sir ji vikrant rahul ji any sir,5
1532,Useless app don't even opens,1
1533,"Overall good app, but Vikki paji ke insta, twitter ke saath saath ek aur app ka promotion sun na padega roj 😂😂😂",4
1534,Bhot acha sports ka platform deya h aapne... 😍😍Thanks sports tak❤❤,5
1535,Five stars? Damm yes!,5
1536,Best in the wourd,5
1537,Nice,5
1538,Currently aap isnt working but i hope you fix the problem what we face,3
1539,Vikrant sir big fan of you.,5
1540,Love u all sport tak group great job and idia wissing best gys allthebest,5
1541,This app was very good👍👍,1
1542,Completely download this app but didn't working. I don't know why? Tell me please?,1
1543,Wait karo guys..Vikrant Sir par yakin karo.. update hoga app.... Launch hua he just abhi...,4
1544,No coverage at all.,1
1545,Nice application for sports parson enjoyment. Thankyou so much india Today natwork and vikarnt gupta sir,5
1546,Fake tak app not working,1
1547,Very very very basic app. Someone of the stature of india today group should have provided a decent app,1
1548,Amazing app vikki sir love you,5
1549,Useless! Trust me useless.,2
1550,Nice app 👍,5
1551,"Just a black screen no data on this app. This is how you launch app to show no information no home, videos, news, schedule is not working",1
1552,Very good app,5
1553,Vikrant Gupta kya kiya hai yeh. Bilkul Bakwas app hai Please do not download this app Guys. It's totally waste. I hate this app. Very Slow + Does not Notify. I have uninstalled Sports tak...,1
1554,Good app.but the best feature is match highlights,4
1555,well done sports tak team . keep going & keep improving,5
1556,Awesome,5
1557,"Language is showing as ""Hind"" or ""Englis"". Last letters are missing. Also, after app opens, it is totally blank - nothing is appearing in any tabs. Kindly look into it",2
1558,Good work by sports tak team,5
1559,Good app,5
1560,Great app all sports in one place,5
1561,Good app,5
1562,👍👍,5
1563,Crash ho gaya app Vikrant sir,4
1564,Love it,5
1565,Not working,1
1566,So much scoring fix it,2
1567,Great app for cricket and world 🌎🌎🌎,5
1568,I am very happy because your team is very hard work and congratulations Vikki paji,5
1569,Superbb App n. Salute sports tak team,5
1570,Good kick off,5
1571,App kam nahi kar raha,1
1572,Yh app bahut achi app h ...all sports tak team se mera promise h T20 world cup se phle 1000 logo se install krwaunga....🌎 MS Dhoni fan Vikas Kumar Sharma,5
1573,Chha gye vikki paji,5
1574,Data Not come ..blank page only in App,1
1575,Its too slow. Need improvement.,1
1576,Sports.Tak.ap.verinik. Gud ap,5
1577,ANTI VIRAT LOBBY,1
1578,Good aap,5
1579,Bakwaas app hai kuch bhi open nhi ho raha hai,1
1580,Super,5
1581,This is a very good app for all sports lover,5
1582,LOVED IT EVERY SPORTS NEWS IN JUST ONE SINGLE APP,5
1583,Bakvaas,1
1584,Beautiful sports app❤️❤️,5
1585,very good,5
1586,Not working,1
1587,Good App All In One In Sports Tak.Good Gob By Team Sporta Tak👍,5
1588,🏅🏅,5
1589,Sports tak is best Rahul and Vikrant are my favourite Anil Singh is fearless while talking.,5
1590,App crashed when opened.,1
1591,Goog app,5
1592,This App Is Great App...,5
1593,Excelent,4
1594,"No content showing, I just unistalled it",1
1595,Great app 👌,5
1596,Expecting it to be the best,5
1597,Vikrant sir he is app me vary good this app,5
1598,"Absolutely tremendous app for sports both cricket,football and even other sports coverage is coming in it you can follow sports easily from this app",5
1599,Good app,5
1600,Best of Luck for Entire Sports Tak Team.Keep it Up.,5
1601,Gooooooooooooood,5
1602,विक्रांत राहुल Sir Love u ❤❤❤❤❤❤,5
1603,Very good 😊,5
1604,Good app so excited,5
1605,Nice app,5
1606,I am very exited about this app,5
1607,Goood,5
1608,This app is very easy to helpfully app,5
1609,I want sports tak in app But Starting problem Hop do Better and better,3
1610,Big fan Vikrant sir,5
1611,Good Ui ❣️,5
1612,Very nice app all sports information in one place great,4
1613,Great start,5
1614,Great app,5
1615,There are some glitches that can be fixed easily. Love you Vikky paji😎,4
1616,Nice app,5
1617,Good job...,5
1618,Great app,5
1619,What A Spurize 😊 Beautiful app,4
1620,Best,5
1621,Fan of sports tak,5
1622,Abhi dhekha nahi 😂😂😂😂,5
1623,Sir please to do live streaming sir please,5
1624,Great app,5
1625,Op,5
1626,Superbb app Vikrant Sir,4
1627,Worst app ever nothing was there in it,1
1628,Good app,5
1629,Nice app,5
1630,Vikrant Sir Best App❤️,5
1631,Nice,5
1632,Excellent,5
1633,Excellent,5
1634,Its not working - stucked on black screen n saying no news,1
1635,😘EXCELLENT ♥️ APP😋,5
1636,Good aap,5
1637,By far the best thing done by sports tak and team I really loved really thank you sports tak for launching this app,5
1638,Good App,5
1639,Best app,5
1640,Very nice sports tak❤️❤️,5
1641,Full on Bugs operating this app,1
1642,Nothing is visible,1
1643,Hello vikrant sir😃😍,5
1644,Not working at all,1
1645,Nice,5
1646,Great app for me,5
1647,Great,5
1648,Wonderful app well done,5
1649,Best ever♥️,5
1650,Thanks for vikrant sir and sports tak team,5
1651,Wonderful aap👌👌,5
1652,Waiting for this 😁,4
1653,Good app big fan vikrant Gupta,5
1654,🙈🙈🙈💪👍👍👍,5
1655,Excellent,5
1656,Must,5
1657,"Good app, but slow loading, Need tobe fast,",5
1658,Worst app ever,1
1659,Its amazing 👌👌👍👍,5
1660,best aap vikrant sir ❤️😍😍,5
1661,Pathetic !!,1
1662,Nice app,5
1663,Excellent app,5
1664,Downloaded this app just because of Vikrant.,5
1665,One of the best sports channels and aap,5
1666,Nhi chal rahi,3
1667,Vikrant sir thank for app provide,5
1668,Loved it,5
1669,Hope same charisma as sports tak channel here too,5
1670,Aap log isko launch Karne wale ho hum pahle hi download kr chuke hai 😅 All the best Team Sports Tak we are with you 🙌,5
1671,Excellent,5
1672,Vikki paaji ❤️,5
1673,One of the first to rate the app Knew this will happen sports Tak will launch its own app Great app 👍👍,5
1674,Tolaram,1
1675,Excellent,5
1676,🌱🍯🌱🌱🍯🌱🐝🌱 🌱🍯🌱🌱🍯🌱🌱🌱 🌱🍯🍯🍯🍯🌱🍯🌱 🌱🍯🌱🌱🍯🌱🍯🌱 🌱🍯🌱🌱🍯🌱🍯🌱 🌼🌱 Hi honey! 🌱🌼,4
1677,Need some improvement and update.,2
1678,Rupeshkumar,5
1679,ｄｅｓｃｅｎｄ ｈｗｅ,2
1680,Kavish,5
1681,Amazing aapp,5
1682,Op,5
1683,Good,4
1684,Super app and satisfying,5
1685,Total coverage,5
1686,"দেখে মনে হল ভাল, তাই নিলাম",5
