,content,score
276,So nice,5
277,Nice app.,5
278,Superb,5
279,Bad,1
280,Vikrant bhai love you,5
281,Good app,5
282,Top,5
283,Very good,5
284,Vikrant gupta,4
285,Best,5
286,Very nice sport app 💥💥💥💯 Ab india t20 word cup se aaj bahar ho gaya💯💯,5
287,"Amazing app Vikrant Sir... The best thing is that every sport is included in it. Really good app. Just give us option to change the theme, then it'll be better...",5
288,Shame on Vikrant Gupta,1
289,Worst Platform #ShameOnSportsTak,1
290,Nice apps,5
291,Faltu app hai Roj update mangta hai,1
292,Good,5
293,third class no download plz,1
294,Excellent,5
295,I love sports,5
296,Very bad,1
297,Im happy,5
298,Awesome app for cricket,5
299,Best app,5
300,Good,5
301,Very good 👍,5
302,Veri good,5
303,Wow,3
304,Good,5
305,Excellent,5
306,Bakwassss App Kuch B Kam Ka Nai Hai Isme.,1
307,Good sport tak good sport app,5
308,It is very good,4
309,Very good,5
310,keep it up .. full support from pakistan,5
311,Worth,1
312,Nice 🙂 app I,5
313,Best app,5
314,Good,5
315,Excellent,5
316,मस्त है,5
317,बफयुग्सीओद्दोगफ6उ यीत। के77दो7तक डफ78फाग76किसी ग्गूदफ़,5
318,Very nice,5
319,Hhh,5
320,I'm biggest fan of sports tak app nd sports tak channel also.,5
321,Great app,5
322,very bad experience...,1
323,Love you too ❤️💕❤️💕❤️,1
324,They never replied to messages only reply on paid message pathetic,5
325,Very good,5
326,Very poor app really don't download it,1
327,Good,5
328,Aur behtar kya ja skta h,3
329,Best app!! Download it because of sir Vikrant Gupta ❤️,5
330,Love from Pakistan. Nice app even can change language and theme any time,5
331,It is amazing,5
332,One of the worst app ever..😀,1
333,Very good to use,5
334,Not interested,2
335,Showing wrong timing of T20 world cup of schedule,2
336,Awesome,5
337,अभी तक का सबसे बेस्ट एप्पलीकेशन।,4
338,Great,5
339,App used my 1.5 gb data in just 3 minutes. Pls do anything.,2
340,Huugg,1
341,Very nice 👍 app 👌👌,5
342,To much slow,1
343,Bekar time waste!,1
344,Nice app,5
345,Nyc,4
346,"Aap ne app ke bare me likha hai 'live score' but kaha live score hai isme , Isme to sirf result hai . You must add live score of all icc cricket match of all country.",1
347,Nice app for sports fan,5
348,"Best neutral platform for sports analysis , question & answers...love the app...good work developers. keep it up",5
349,Amazing app not for only cricket but other soptrs,4
350,I m here after Vikrant bhai request and i m Pakistani but i always wanted ur show everyday love 💕💕💕💕💕 to c u give most respect to Pakistani,5
351,Lagging and not working,3
352,Nice,5
353,Love from Pakistan...,5
354,Good app,5
355,Rahul sir k kehne pe,5
356,Very nice application,5
357,Mast ha,5
358,This is very bad app,1
359,When i use it with my unlimited wi-fi its works fine but when i use it using my data its finish my 1.5 gb data in no time. Much more data uses then watching video on you tube.(and i was not watching video only checking live score,2
360,Good,5
361,Virant sir,5
362,Wow perfect,5
363,Good night 💤🌃💤🌃,5
364,Very baid,1
365,Pathetic I just opened app and within 5 minutes my 1gb data is gone,1
366,Change dark mode into light,1
367,Amazing super,5
368,Nice app,5
369,Brilliant app,5
370,Bakwaas waste,1
371,One of the Patehtic sports app I ever seen . Don't understand who told them about dark them . No attractiveness and lot of improvement required.,1
372,Very good app,5
373,Very bad They said world cup highlights be thier lier I gonna unsubscribe you,1
374,I like sports tak,5
375,Good,5
376,Op,3
377,Vinay upraity,2
378,Nice app,5
379,God app,5
380,Nice,5
381,Gud app,4
382,Good,5
383,Excellent app,5
384,Bring Poll System.,5
385,Inspire,5
386,Hindi comnatry highlight,3
387,Very nice 👌app,5
388,"I love sports tak, so I gave 3 Star.",3
389,Ccc,4
390,Very good app love Sports takk because of vikky bhaajji and Rahul Rawat ji best sports journalist of Entire India,5
391,"Useless talks on live show by all reporters, ludo saapsidi ki baat karte hai ye loog live show mein",1
392,Rajendra,5
393,Nice app ❤️❤️❤️❤️,5
394,Very good,3
395,The application is awesome,5
396,"UX is not good. I think it is built by inexperienced developer. I think it is cost cutting. Just one right thing, there is no ads",1
397,Bahut kharab app hai isse accha koi aur sports ka channel ho usse download kar lena na isse andar se dekhne me accha lagta hai na hi use karne me so bed app,1
398,Not bad,5
399,Best app,5
400,This app does not have match highlights.,1
401,Good app,5
402,Best sports app,5
403,Good,4
404,Good,5
405,good,5
406,good but need improvement.,3
407,Nice App,4
408,❣️💞❤,5
409,Sir need to improve loading time is too high,5
410,Good,4
411,Very good,5
412,Too much lagggggggggg,1
413,"Misleading! No IPL highlights available, like said by Vikrant Gupta. No, I won't follow you on Twitter or Instagram and ask the question.",2
414,Good,2
